n,c,P,parameter_path,category,available,m,explicit_tail_upper,hybrid_tail_upper,lambda_ref,u_ref,finite_lower,finite_upper,explicit_lower,explicit_upper,explicit_width,explicit_contains_reference,hybrid_lower,hybrid_upper,hybrid_width,hybrid_contains_reference,ordinary_observed_finite_Ritz_error
0,20,38,fixed continuous c,tail,True,8,0.08089128568864304,0.11744920320457189,0.0002714739515923361,1.1102230246251565e-13,-28.981981326955406,29.050911257845314,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.034193491493361455
0,20,54,fixed continuous c,deep,True,0,0.055950955798975424,0.0757872386964828,1.0000000000000202,2.0827783941967937e-12,-23.090942834916174,39.324334467349,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.11669581621639
0,20,54,fixed continuous c,edge,True,2,0.055950955798975424,0.0757872386964828,0.9999999874847763,1.7830181775480014e-12,-29.82633401648083,32.58894328578434,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.3813046471669801
0,20,54,fixed continuous c,knee,True,6,0.055950955798975424,0.0757872386964828,0.39506094010498877,8.820721930646869e-13,-30.791640242728732,31.623637059536435,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.02093746829886206
0,20,54,fixed continuous c,tail,True,8,0.055950955798975424,0.0757872386964828,0.0002714739515923361,1.1102230246251565e-13,-31.173009295557176,31.24226800670799,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03435788162381524
0,20,70,fixed continuous c,deep,True,0,0.042857100773577864,0.053183117165545656,1.0000000000000202,2.0827783941967937e-12,-24.709426804156273,40.94282157841209,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.116697387127885
0,20,70,fixed continuous c,edge,True,2,0.042857100773577864,0.053183117165545656,0.9999999874847763,1.7830181775480014e-12,-31.444772510192546,34.20747587237582,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.38135169360685883
0,20,70,fixed continuous c,knee,True,6,0.042857100773577864,0.053183117165545656,0.39506094010498877,8.820721930646869e-13,-32.406324139603555,33.245924242964804,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.024739111575633577
0,20,70,fixed continuous c,tail,True,8,0.042857100773577864,0.053183117165545656,0.0002714739515923361,1.1102230246251565e-13,-32.79140787808817,32.86084050448019,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.03444483924441693
0,20,102,fixed continuous c,deep,True,0,0.029241556289565186,0.029241556289565186,1.0000000000000202,2.0827783941967937e-12,-27.058319953315397,43.29171809828983,0.0,1.0,1.0,False,0.0,1.0,1.0,False,7.116699072487193
0,20,102,fixed continuous c,edge,True,2,0.029241556289565186,0.029241556289565186,0.9999999874847763,1.7830181775480014e-12,-33.79361641950798,36.55642163209725,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.3814026188098578
0,20,102,fixed continuous c,knee,True,6,0.029241556289565186,0.029241556289565186,0.39506094010498877,8.820721930646869e-13,-34.75119564130852,35.598842410296704,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.028762444389101915
0,20,102,fixed continuous c,tail,True,8,0.029241556289565186,0.029241556289565186,0.0002714739515923361,1.1102230246251565e-13,-35.14021221424151,35.20982583736372,0.0,1.0,1.0,True,0.0,1.0,1.0,True,0.034535337609513786
