n,c,parameter_path,P,Boulsane_N,method,wall_median_seconds,wall_Q1_seconds,wall_Q3_seconds,wall_IQR_seconds,CPU_median_seconds,reused_entry_count,matrix_storage_bytes,offset_path
0,20,fixed continuous c,38,39,Boulsane_large_N_assembly,0.007335199996305164,0.007285499999852618,0.007816549998096889,0.0005310499982442707,0.015625,0,12168,large_N
0,20,fixed continuous c,38,39,Boulsane_large_N_eigensolve,2.950000634882599e-05,2.9400001949397847e-05,3.239999932702631e-05,2.9999973776284605e-06,0.0,,,large_N
0,20,fixed continuous c,38,39,Boulsane_half_mesh_assembly,0.00690980000217678,0.006895700000313809,0.006949899998289766,5.419999797595665e-05,0.015625,0,12168,half_mesh
0,20,fixed continuous c,38,39,Boulsane_half_mesh_eigensolve,3.0499999411404133e-05,2.7950001822318882e-05,3.090000245720148e-05,2.950000634882599e-06,0.0,,,half_mesh
0,20,fixed continuous c,38,39,Boulsane_next_zero_assembly,0.0074621000021579675,0.007167149997258093,0.007575949999591103,0.0004088000023330096,0.015625,0,12168,next_zero
0,20,fixed continuous c,38,39,Boulsane_next_zero_eigensolve,3.0399998649954796e-05,2.9999999242136255e-05,3.3749998692655936e-05,3.749999450519681e-06,0.0,,,next_zero
0,20,fixed continuous c,38,39,Boulsane_left_control_assembly,0.007154799997806549,0.007016399998974521,0.007214950001070974,0.00019855000209645368,0.0,0,12168,left_control
0,20,fixed continuous c,38,39,Boulsane_left_control_eigensolve,2.989999484270811e-05,2.8550002753036097e-05,3.110000034212135e-05,2.549997589085251e-06,0.0,,,left_control
0,20,fixed continuous c,38,39,Boulsane_right_control_assembly,0.007004800005233847,0.006955299999390263,0.007130800000595627,0.00017550000120536424,0.0,0,12168,right_control
0,20,fixed continuous c,38,39,Boulsane_right_control_eigensolve,2.9100003303028643e-05,2.854999911505729e-05,3.454999750829302e-05,5.999998393235728e-06,0.0,,,right_control
0,20,fixed continuous c,54,55,project_full_rebuild,0.002569600001152139,0.0025420500023756176,0.002575249996880302,3.319999450468458e-05,0.0,0,23328,
0,20,fixed continuous c,54,55,project_block_extension,0.000323199994454626,0.00032130000181496143,0.00033089999851654284,9.599996701581404e-06,0.0,1444,23328,
0,20,fixed continuous c,54,55,project_eigensolve,4.9200003559235483e-05,4.7999998059822246e-05,5.185000190977007e-05,3.850003849947825e-06,0.0,,,
0,20,fixed continuous c,54,55,Boulsane_large_N_assembly,0.014761400001589209,0.014693449997139396,0.014778999997361097,8.555000022170134e-05,0.015625,0,24200,large_N
0,20,fixed continuous c,54,55,Boulsane_large_N_eigensolve,5.420000525191426e-05,5.325000165612437e-05,6.399999983841553e-05,1.0749998182291165e-05,0.0,,,large_N
0,20,fixed continuous c,54,55,Boulsane_half_mesh_assembly,0.013922600002842955,0.013900949998060241,0.01459679999970831,0.0006958500016480684,0.015625,0,24200,half_mesh
0,20,fixed continuous c,54,55,Boulsane_half_mesh_eigensolve,5.009999586036429e-05,4.864999937126413e-05,5.3050000133225694e-05,4.400000761961564e-06,0.0,,,half_mesh
0,20,fixed continuous c,54,55,Boulsane_next_zero_assembly,0.013697700000193436,0.013644099999510217,0.013753149996773573,0.00010904999726335518,0.015625,0,24200,next_zero
0,20,fixed continuous c,54,55,Boulsane_next_zero_eigensolve,4.999999509891495e-05,4.8800000513438135e-05,5.1750001148320735e-05,2.950000634882599e-06,0.0,,,next_zero
0,20,fixed continuous c,54,55,Boulsane_left_control_assembly,0.01375749999715481,0.013742549999733455,0.013780250003037509,3.77000033040531e-05,0.015625,0,24200,left_control
0,20,fixed continuous c,54,55,Boulsane_left_control_eigensolve,4.8999994760379195e-05,4.860000262851827e-05,5.339999916031957e-05,4.799996531801298e-06,0.0,,,left_control
0,20,fixed continuous c,54,55,Boulsane_right_control_assembly,0.013780900000710972,0.013751700000284472,0.013785449998977128,3.3749998692655936e-05,0.015625,0,24200,right_control
0,20,fixed continuous c,54,55,Boulsane_right_control_eigensolve,4.939999780617654e-05,4.8850000894162804e-05,5.775000317953527e-05,8.900002285372466e-06,0.0,,,right_control
0,20,fixed continuous c,70,71,project_full_rebuild,0.0034051999973598868,0.0034015000019280706,0.0034463000010873657,4.479999915929511e-05,0.0,0,39200,
0,20,fixed continuous c,70,71,project_block_extension,0.0004247999968356453,0.00041974999840022065,0.0004286500006855931,8.900002285372466e-06,0.0,2916,39200,
0,20,fixed continuous c,70,71,project_eigensolve,7.899999764049426e-05,7.8500004747184e-05,8.214999979827553e-05,3.649995051091537e-06,0.0,,,
0,20,fixed continuous c,70,71,Boulsane_large_N_assembly,0.023927500005811453,0.02329490000192891,0.024180349999369355,0.0008854499974404462,0.03125,0,40328,large_N
0,20,fixed continuous c,70,71,Boulsane_large_N_eigensolve,8.690000686328858e-05,8.635000267531723e-05,9.1050002083648e-05,4.699999408330768e-06,0.0,,,large_N
0,20,fixed continuous c,70,71,Boulsane_half_mesh_assembly,0.02285719999781577,0.022813450003013713,0.022948199999518692,0.0001347499965049792,0.03125,0,40328,half_mesh
0,20,fixed continuous c,70,71,Boulsane_half_mesh_eigensolve,8.619999425718561e-05,8.499999967170879e-05,8.910000178730115e-05,4.1000021155923605e-06,0.0,,,half_mesh
0,20,fixed continuous c,70,71,Boulsane_next_zero_assembly,0.023597799998242408,0.0231376999981876,0.02409110000007786,0.0009534000018902589,0.03125,0,40328,next_zero
