n,c,M_n_c,m_knee,parameter_path,P,matched_total_dimension,project_error,augmented_error,project_P_plus_1_error,Boulsane_error,causal_ratio_or_upper_bound,causal_ratio_is_floor_upper_bound,matched_ratio_or_upper_bound,matched_ratio_is_floor_upper_bound,reference_endpoint_absolute_value,augmented_endpoint_absolute_value,augmented_endpoint_absolute_error,project_Rayleigh_residual,augmented_Rayleigh_residual,Boulsane_Rayleigh_residual,augmented_matrix_audit_passed,Boulsane_matrix_audit_passed,case_boundary_explanation_supported
0,40,12,12,fixed continuous c,76,77,0.02157626376474009,3.4813892424434556e-07,0.021295215938072376,0.0009994869741780654,1.6135273837969753e-05,False,1.6348222307618393e-05,False,3.517378572083051,3.5330830943538083,0.01570452227075725,0.1164319760112307,0.0004782913149212344,0.20647413855632524,True,True,True
0,40,12,12,fixed continuous c,108,109,0.015179688346402598,5.931694146976696e-08,0.015040576252442484,0.0004959785840707998,3.907652128037553e-06,False,3.943794471314509e-06,False,3.517378572083051,3.5251226456710234,0.0077440735879723555,0.09834133142893911,0.00019742672774089847,0.18945515648699188,True,True,True
0,80,25,25,fixed continuous c,30,31,0.15142405912350942,0.004860503966525265,0.14147818294702702,0.004462453751685802,0.03209862418600721,False,0.03435514837185292,False,5.831808111470331,6.9673688745938085,1.1355607631234772,0.21023570603962669,0.0479036170777579,0.4703512605758338,True,True,True
0,80,25,25,fixed continuous c,33,34,0.12613732737911398,0.002123809852673464,0.11999186717451577,0.0032928003845655307,0.016837282799644346,False,0.017699615004611955,False,5.831808111470331,6.6575411647127645,0.8257330532424332,0.20221783500067997,0.031759151119033865,0.44928825427895847,True,True,True
0,80,25,25,fixed continuous c,37,38,0.10536444541228579,0.0009130062124766969,0.10140326272586964,0.0023909908484435194,0.008665221070581725,False,0.00900371632957106,False,5.831808111470331,6.427169490182399,0.5953613787120675,0.19238828513151765,0.020850103874458778,0.4196131119058539,True,True,True
0,80,25,25,fixed continuous c,45,46,0.081076827560359,0.00025893163495288585,0.07889493722623714,0.0014694826189941002,0.003193657703986011,False,0.0032819803659945887,False,5.831808111470331,6.195636750627486,0.3638286391571546,0.17619573463445193,0.011111279839156881,0.37419327695676935,True,True,True
0,80,25,25,fixed continuous c,57,58,0.06127673011983509,6.582514373676407e-05,0.060082385154742124,0.0008603451911852744,0.0010742274205564483,False,0.0010955814015577356,False,5.831808111470331,6.043890464059043,0.21208235258871166,0.15812711785265046,0.005603450955295331,0.3293444493573202,True,True,True
0,80,25,25,fixed continuous c,73,74,0.0466554185385854,1.7137085855323253e-05,0.045978352683147816,0.0005066209303802305,0.0003673118019753778,False,0.0003727207447691881,False,5.831808111470331,5.956218550873827,0.12441043940349594,0.14097164270140927,0.002859238059522391,0.2934969201605452,True,True,True
0,80,25,25,fixed continuous c,89,90,0.037807024836967296,6.039431024174036e-06,0.03736680519136509,0.0003355500932812894,0.00015974362040434205,False,0.00016162556561216684,False,5.831808111470331,5.913983501798255,0.08217539032792409,0.12845115817516065,0.0016974027082426093,0.2632046703528739,True,True,True
0,80,25,25,fixed continuous c,121,122,0.02750468376436177,1.2408993804724489e-06,0.027273589179343083,0.0001792504010106888,4.511592974867432e-05,False,4.549820605981341e-05,False,5.831808111470331,5.875543142404823,0.04373503093449127,0.11102906119453546,0.0007694091785820398,0.22849749346141163,True,True,True
1,10,2,2,fixed continuous c,7,8,0.06745722982000824,4.263324562581161e-05,0.05920258782018195,0.005831205347699431,0.000632004097108155,False,0.0007201246971720735,False,1.940594867270971,1.9947042199455278,0.054109352674556854,0.19781140831388327,0.005319205202876756,0.3572372445685134,True,True,True
1,10,2,2,fixed continuous c,10,11,0.04768987521260959,7.578762458604338e-06,0.04349709398717061,0.003089298962103193,0.00015891764079517767,False,0.00017423606415729013,False,1.940594867270971,1.9677785124635836,0.027183645192612627,0.16989096897165856,0.0022427537554370446,0.3107182206811186,True,True,True
1,10,2,2,fixed continuous c,14,15,0.034466276742147084,1.4906238575695951e-06,0.0322445794943057,0.0016783719091822968,4.324876367474836e-05,False,4.62286648158285e-05,False,1.940594867270971,1.9547981106222052,0.01420324335123424,0.1463954288825698,0.0009946452657366173,0.22739847130378435,True,True,True
1,10,2,2,fixed continuous c,22,23,0.02224965462664552,1.6596205054675295e-07,0.021308644390069076,0.0007259923601976581,7.4590843467746125e-06,False,7.788484687655673e-06,False,1.940594867270971,1.9465026891971775,0.005907821926206536,0.1190422741088059,0.0003318860343615829,0.1212981147413553,True,True,True
