record_type,n,c,M_n_c,m_knee,parameter_path,path,N,epsilon_over_pi,omega,h,e_lambda,e_Rayleigh,Gamma,next_zero_normalized,half_mesh_scaled,matrix_audit_passed,Rayleigh_fit_slope,Rayleigh_fit_reported,Rayleigh_fit_compatible,oracle_deviation_from_half_mesh,oracle_absolute_deviation_over_h,oracle_O_h_support_case
fixed_offset,4,40,11,10,fixed continuous c,right_control,19,0.75,0.5932676895109307,0.04659513537449325,0.08366024259838645,0.08286480863928991,0.930042776239414,,,True,0.9699469773573571,True,,,,
fixed_offset,4,40,11,10,fixed continuous c,right_control,23,0.75,0.4999425921824734,0.03926539937042741,0.07103201536194914,0.07018793945497614,0.9348153686102777,,,True,0.9699469773573571,True,,,,
fixed_offset,4,40,11,10,fixed continuous c,right_control,31,0.75,0.38034834859211725,0.029872489443550133,0.05458977172144486,0.05391523767063189,0.9438728144094762,,,True,0.9699469773573571,True,,,,
fixed_offset,4,40,11,10,fixed continuous c,right_control,43,0.75,0.27994261745137816,0.021986641760298683,0.040568821870442306,0.04012595215304271,0.9544206354814195,,,True,0.9699469773573571,True,,,,
fixed_offset,4,40,11,10,fixed continuous c,right_control,59,0.75,0.20707505475152432,0.016263636768727323,0.030247282117708996,0.029975638479375677,0.963882612389745,,,True,0.9699469773573571,True,,,,
fixed_offset,4,40,11,10,fixed continuous c,right_control,75,0.75,0.1643110181195341,0.012904957185704695,0.024122309950689647,0.02394067052589044,0.9701817743533722,,,True,0.9699469773573571,True,,,,
fixed_offset,4,40,11,10,fixed continuous c,right_control,107,0.75,0.11628537627968175,0.009133032096004324,0.017175644364438525,0.017078763447006873,0.9779458529181168,,,True,0.9699469773573571,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,28,0.5268470386671699,0.8418112692463885,0.03305785123966942,0.017746697942903844,0.009005275014377478,0.624778652126823,,8.24038946784379,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,31,0.5243835171590222,0.7658583727730303,0.03007518796992481,0.013867650834295198,0.009743971668098317,0.8181473406397567,,10.772569677311946,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,35,0.5217258506818805,0.6836185475088122,0.026845637583892617,0.010566172831728393,0.008631438779826306,0.9112402447891695,,11.976660771932739,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,43,0.5178381081506621,0.5627578098276962,0.022099447513812154,0.006836405421502767,0.006196549683838981,0.9678764833173608,,12.687822762015555,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,55,0.5140638328802524,0.4447998409555154,0.017467248908296946,0.0041402934602233765,0.003941915546992358,0.9880509050013365,,12.919874574989137,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,71,0.5109695816731759,0.3476421965147202,0.013651877133105802,0.0024835112179796837,0.002419096685893407,0.9946516337075251,,12.979814461703944,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,87,0.5089914761524894,0.2853197859350505,0.011204481792717087,0.0016581719580773258,0.00163088499314884,0.9967833506187923,,12.990916343239157,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,large_N,119,0.5066083022464694,0.21001889397693407,0.008247422680412371,0.0008912000369615258,0.0008836824505469854,0.9983625692557629,,12.991512776869662,True,1.978507259112669,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,28,0.5,0.8425590449574414,0.03308721632317412,-0.0007632969565965486,-0.013234281324461084,,,12.088708366873178,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,31,0.5,0.7664204186506,0.03009725945992423,-0.00039319234720802676,-0.006677204685487659,,,7.371243961691929,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,35,0.5,0.6840174968242431,0.02686130428687402,-0.0002153744274095981,-0.0033387003577469154,,,4.627253051199225,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,43,0.5,0.5629797433867938,0.02210816282429773,-9.285878808601433e-05,-0.0011983590543648281,,,2.451780873081895,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,55,0.5,0.44490913576306595,0.017471540905352897,-3.784654668226306e-05,-0.0003986460359076127,,,1.3059454336676655,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,71,0.5,0.34769426560200783,0.013653921881382076,-1.5461133663352555e-05,-0.0001364934949001917,,,0.7321450431417729,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,87,0.5,0.2853485333247708,0.011205610700071528,-7.572399962685328e-06,-5.969536754191207e-05,,,0.47541137616069234,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,half_mesh,119,0.5,0.2100303409375431,0.008247872201504311,-2.42311072123913e-06,-1.7005550409288084e-05,,,0.24998091131106023,True,4.304701190007112,True,True,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,28,1.0008747317827358,0.8288233284078582,0.0325478159956246,0.2966656536843615,0.03227174489505691,0.1218910122319268,0.06105212805839251,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,31,1.0007236108138384,0.7550416328599536,0.0296504155868409,0.2614108981258437,0.07966675372034765,0.33040641922430075,0.1654422952700627,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,35,1.0005762411721295,0.67494213661813,0.026504915724971444,0.22814485203290258,0.10508674868587836,0.487698596404839,0.24413033021325772,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,43,1.0003902360197992,0.5568198079893548,0.021866262726907955,0.18387803906944467,0.11531724856153441,0.6489497862343095,0.32472813669878436,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,55,1.0002436593561863,0.44105430894868336,0.01732016221034133,0.14350156924062074,0.10697235427626783,0.7602181203215987,0.3802942944185581,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,71,1.0001487885866898,0.34533596886464624,0.013561311785068577,0.11141610282860548,0.09152219521756821,0.8308559170393178,0.415551580397298,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,87,1.0001002056040287,0.28375837177890956,0.011143165202190294,0.09118235424769983,0.0786590344206653,0.8691269552878339,0.4346505690354492,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,next_zero,119,1.0000542841105924,0.209167653250892,0.008213994535270244,0.06697009794166014,0.06068590073515551,0.9097382419926924,0.45491850532768463,,True,0.6665046553761745,True,False,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,28,0.25,0.8495866593532674,0.03336319009515149,-0.17023352920988682,-0.21369864783886822,1.5775909503720427,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,31,0.25,0.7722309272960517,0.030325437600851372,-0.1448437686125405,-0.1766152590950713,1.4344365686997664,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,35,0.25,0.688641952079119,0.027042906220068684,-0.12327455935294723,-0.14590128961398224,1.3288194326701213,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,43,0.25,0.5661086489335101,0.022231034657789483,-0.09682297050752081,-0.11022482272403017,1.2211807097372172,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,55,0.25,0.44686097320616025,0.01754818938250573,-0.07421147537621625,-0.08173939167482142,1.1472532340885153,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,71,0.25,0.3488851783446804,0.013700688915425158,-0.056969827222641045,-0.06124280361632334,1.1009633464559279,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,87,0.25,0.2861501551348222,0.011237090314939215,-0.04634815167572487,-0.04910959272451271,1.0763974572383828,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,left_control,119,0.25,0.21046431162385587,0.00826491419050423,-0.03383883426133566,-0.035269467706229685,1.0510436638564737,,,True,1.1488753848273663,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,28,0.75,0.8356467388528961,0.032815770697206585,0.16390631496263114,0.14372420451843598,1.078716961011278,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,31,0.75,0.7606966971842345,0.029872489443550133,0.14093915636091792,0.12458275065843538,1.027180346355283,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,35,0.75,0.6794547367162199,0.026682125116430793,0.12071847697128274,0.10793664930913344,0.9963426419889194,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,43,0.75,0.5598852349027563,0.021986641760298683,0.0953858227377602,0.086867444042104,0.9731019548081503,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,55,0.75,0.4429742749717689,0.017395559099757176,0.07341779865269948,0.06811149699303726,0.9643667674580252,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,71,0.75,0.34651145551585344,0.013607473037916396,0.05652056638050029,0.053257244298031026,0.9639653215178038,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,87,0.75,0.28455139029880766,0.0111743069666437,0.04605744753247348,0.043840761366016334,0.9663127108841032,,,True,1.0001371734265248,True,,,,
fixed_offset,4,80,23,23,fixed continuous c,right_control,119,0.75,0.20959815623596678,0.008230900347960987,0.033687666748863754,0.03246943517821416,0.9716001928625205,,,True,1.0001371734265248,True,,,,
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,8,0.46342036348492655,0.38747150353123627,0.12172776289691235,1.6653345369377348e-15,,,,,True,,,,-0.11491831734673963,0.9440600452343855,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,11,0.4738810831796002,0.28357080202909785,0.08908639484271795,5.273559366969494e-16,,,,,True,,,,-0.08205499720269094,0.921072149653817,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,15,0.48099145235772117,0.2089765126025193,0.06565190767648894,-4.163336342344337e-16,,,,,True,,,,-0.059717113628394713,0.9096021081772834,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,23,0.4876451437255563,0.1369769869259692,0.043032589583749004,2.7755575615628914e-17,,,,,True,,,,-0.03881392570795006,0.9019658375987649,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,35,0.49188308845588424,0.09032054095928961,0.028375034794596025,2.7755575615628914e-17,,,,,True,,,,-0.02550002967683218,0.8986783579799739,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,51,0.49442637070538675,0.062115698937446076,0.019514222345447592,3.885780586188048e-16,,,,,True,,,,-0.01751007284578976,0.8972980083869253,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,67,0.49575519826273917,0.047335179316612346,0.014870785159742486,6.106226635438361e-16,,,,,True,,,,-0.013335437953723828,0.8967541263271639,True
oracle_diagnostic,0,10,3,3,fixed continuous c,oracle,99,0.49712528222597235,0.0320724125699095,0.010075845571252863,3.3306690738754696e-16,,,,,True,,,,-0.00903119224002924,0.8963210259787926,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,11,0.4794926079005177,0.5668582256752255,0.08904188187041168,1.4432899320127035e-15,,,,,True,,,,-0.06442587236401898,0.7235457181574627,True
oracle_diagnostic,0,20,6,6,fixed continuous c,oracle,14,0.4845512889145742,0.44720664628071877,0.07024705572960176,-2.7755575615628914e-16,,,,,True,,,,-0.04853355725340491,0.6908980988501859,True
