method,n,c,parameter_path,dimension_old,dimension_new,block_defect_norm_2,relative_block_defect,raw_negative_increment_count,significant_negative_increment_count,minimum_increment
project,4,20,fixed continuous c,24,36,0.0,0.0,1,0,-2.2527027255329846e-19
project,4,20,fixed continuous c,36,52,0.0,0.0,0,0,2.169466218680087e-18
project,4,20,fixed continuous c,52,68,0.0,0.0,3,0,-6.029410316639658e-17
project,4,20,fixed continuous c,68,100,0.0,0.0,1,0,-6.830456219821136e-19
project,4,40,fixed continuous c,16,19,0.0,0.0,0,0,4.440892098500626e-16
project,4,40,fixed continuous c,19,23,0.0,0.0,3,0,-7.771561172376096e-16
project,4,40,fixed continuous c,23,31,0.0,0.0,2,0,-3.3306690738754696e-16
project,4,40,fixed continuous c,31,43,0.0,0.0,1,0,-7.771561172376096e-16
project,4,40,fixed continuous c,43,59,0.0,0.0,8,0,-4.440892098500626e-16
project,4,40,fixed continuous c,59,75,0.0,0.0,8,0,-2.220446049250313e-16
project,4,40,fixed continuous c,75,107,0.0,0.0,15,0,-6.661338147750939e-16
project,4,80,fixed continuous c,28,31,0.0,0.0,1,0,-2.220446049250313e-16
project,4,80,fixed continuous c,31,35,0.0,0.0,12,0,-1.4432899320127035e-15
project,4,80,fixed continuous c,35,43,0.0,0.0,0,0,0.0
project,4,80,fixed continuous c,43,55,0.0,0.0,10,0,-8.881784197001252e-16
project,4,80,fixed continuous c,55,71,0.0,0.0,9,0,-8.881784197001252e-16
project,4,80,fixed continuous c,71,87,0.0,0.0,7,0,-6.661338147750939e-16
project,4,80,fixed continuous c,87,119,0.0,0.0,4,0,-4.440892098500626e-16
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,8,11,0.7108978942641916,0.7108978942641916,3,3,-0.004378459267975532
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,11,15,0.70163212213164,0.70163212213164,3,3,-0.0022492990704358062
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,15,23,0.8444508612266418,0.8444508612266418,3,3,-0.0015028931611241747
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,23,35,0.8389170201257816,0.8389170201257816,3,3,-0.0006345700380558927
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,35,51,0.7959249108944441,0.7959249108944441,5,3,-0.0002563766919694288
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,51,67,0.6482566501942926,0.6482566501942926,5,3,-9.633380763363064e-05
Boulsane_large_N,0,10,fixed continuous c; Boulsane large-N offset,67,99,0.8122255908859684,0.8122255908859684,3,3,-7.212401567602278e-05
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,11,14,0.9039984052049616,0.9039984052049616,5,4,-0.006156322034125528
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,14,18,0.9170638519404103,0.9170638519404103,6,4,-0.0037566968496269837
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,18,26,0.9808701907539844,0.9808701907539844,5,4,-0.0029189930083752813
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,26,38,0.9829468143895765,0.9829468143895765,6,4,-0.0014099296482630308
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,38,54,0.9770872668861965,0.9770872668861965,6,4,-0.0006240527918668359
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,54,70,0.9274353205302464,0.9274353205302464,6,4,-0.0002477985392520532
Boulsane_large_N,0,20,fixed continuous c; Boulsane large-N offset,70,102,0.9825139896109991,0.9825139896109991,6,4,-0.00019281931081682746
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,17,20,0.9732805875350452,0.9732805875350439,10,5,-0.011170326952973708
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,20,24,0.9866390336688541,0.9866390336688536,11,6,-0.0068540412654490845
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,24,32,0.9992579240753908,0.9992579240753904,9,6,-0.005688522121583772
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,32,44,0.9996682340282902,0.9996682340282895,11,6,-0.0030459960686439747
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,44,60,0.9995912984572731,0.9995912984572727,10,6,-0.0014853997472259461
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,60,76,0.9973773230080999,0.9973773230080999,13,6,-0.0006330374689103024
Boulsane_large_N,0,40,fixed continuous c; Boulsane large-N offset,76,108,0.9998848500746561,0.9998848500746559,8,6,-0.0005210307685969973
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,30,33,0.9927947742949805,0.992794774294979,13,5,-0.009430737301335257
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,33,37,0.9974015369562427,0.9974015369562418,19,5,-0.00771884545246615
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,37,45,0.9999883494471905,0.9999883494471892,15,5,-0.008362027908823233
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,45,57,0.9999990198323152,0.9999990198323145,13,6,-0.005814526694622568
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,57,73,0.9999995627424219,0.999999562742421,12,6,-0.0034821073857917995
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,73,89,0.9999890909540029,0.9999890909540022,10,6,-0.0017098395375395592
Boulsane_large_N,0,80,fixed continuous c; Boulsane large-N offset,89,121,0.9999999837469506,0.99999998374695,22,6,-0.0015745408071486944
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,7,10,0.7273192714760385,0.7273192714760385,3,3,-0.003924952429014028
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,10,14,0.7156622770774038,0.7156622770774038,4,3,-0.0018092827459954552
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,14,22,0.8109241680691419,0.8109241680691419,3,3,-0.0011295753967
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,22,34,0.8048286988774128,0.8048286988774128,3,3,-0.00045532429592609613
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,34,50,0.7721570672988978,0.7721570672988978,4,3,-0.0001793933359355293
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,50,66,0.6650818568485448,0.6650818568485448,15,3,-6.652778482507671e-05
Boulsane_large_N,1,10,fixed continuous c; Boulsane large-N offset,66,98,0.782200185549799,0.782200185549799,3,3,-4.939723296859544e-05
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,11,14,0.8846361855838427,0.8846361855838427,6,5,-0.007980653259247017
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,14,18,0.8979238007832395,0.8979238007832395,6,5,-0.0046694570358642995
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,18,26,0.9722523597398309,0.9722523597398309,6,5,-0.0035557969400622502
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,26,38,0.9775675084586032,0.9775675084586032,6,5,-0.0017063429059087643
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,38,54,0.9688994250346724,0.9688994250346724,7,5,-0.0007564894682916545
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,54,70,0.9140609799096356,0.9140609799096356,6,5,-0.0003013973255425739
Boulsane_large_N,1,20,fixed continuous c; Boulsane large-N offset,70,102,0.9784434924745157,0.9784434924745157,7,5,-0.000235342130455507
